Hex	Opcode	Length	Cycles	After CB	Length	Cycles	After DDFDCB	Length	Cycles	After ED	Length	Cycles			Key	
8A	"ADC A, D"	1	4	"RES 1, D"	1	8	"LD D, RES 1, (HL)"	1	0							
8B	"ADC A, E"	1	4	"RES 1, E"	1	8	"LD E, RES 1, (HL)"	1	0							
8C	"ADC A, H"	1	4	"RES 1, H"	1	8	"LD H, RES 1, (HL)"	1	0							
8D	"ADC A, L"	1	4	"RES 1, L"	1	8	"LD L, RES 1, (HL)"	1	0							
8E	"ADC A, (HL)"	1	7	"RES 1, (HL)"	1	15	"RES 1, (HL)"	1	15							
8F	"ADC A, A"	1	4	"RES 1, A"	1	8	"LD L, RES 1, (HL)"	1	0							
90	"SUB A, B"	1	4	"RES 2, B"	1	8	"LD B, RES 2, (HL)"	1	0							
91	"SUB A, C"	1	4	"RES 2, C"	1	8	"LD C, RES 2, (HL)"	1	0							
92	"SUB A, D"	1	4	"RES 2, D"	1	8	"LD D, RES 2, (HL)"	1	0							
93	"SUB A, E"	1	4	"RES 2, E"	1	8	"LD E, RES 2, (HL)"	1	0							
94	"SUB A, H"	1	4	"RES 2, H"	1	8	"LD H, RES 2, (HL)"	1	0							
95	"SUB A, L"	1	4	"RES 2, L"	1	8	"LD L, RES 2, (HL)"	1	0							
96	"SUB A, (HL)"	1	7	"RES 2, (HL)"	1	15	"RES 2, (HL)"	1	15							
97	"SUB A, A"	1	4	"RES 2, A"	1	8	"LD L, RES 2, (HL)"	1	0							
98	"SBC A, B"	1	4	"RES 3, B"	1	8	"LD B, RES 3, (HL)"	1	0							
99	"SBC A, C"	1	4	"RES 3, C"	1	8	"LD C, RES 3, (HL)"	1	0							
9A	"SBC A, D"	1	4	"RES 3, D"	1	8	"LD D, RES 3, (HL)"	1	0							
9B	"SBC A, E"	1	4	"RES 3, E"	1	8	"LD E, RES 3, (HL)"	1	0							
9C	"SBC A, H"	1	4	"RES 3, H"	1	8	"LD H, RES 3, (HL)"	1	0							
9D	"SBC A, L"	1	4	"RES 3, L"	1	8	"LD L, RES 3, (HL)"	1	0							
9E	"SBC A, (HL)"	1	7	"RES 3, (HL)"	1	15	"RES 3, (HL)"	1	15							
9F	"SBC A, A"	1	4	"RES 3, A"	1	8	"LD L, RES 3, (HL)"	1	0							
A0	"AND A, B"	1	4	"RES 4, B"	1	8	"LD B, RES 4, (HL)"	1	0	LDI	1	16				
A1	"AND A, C"	1	4	"RES 4, C"	1	8	"LD C, RES 4, (HL)"	1	0	CPI	1	16				
A2	"AND A, D"	1	4	"RES 4, D"	1	8	"LD D, RES 4, (HL)"	1	0	INI	1	16				
A3	"AND A, E"	1	4	"RES 4, E"	1	8	"LD E, RES 4, (HL)"	1	0	OUTI	1	16				
A4	"AND A, H"	1	4	"RES 4, H"	1	8	"LD H, RES 4, (HL)"	1	0							
A5	"AND A, L"	1	4	"RES 4, L"	1	8	"LD L, RES 4, (HL)"	1	0							
A6	"AND A, (HL)"	1	7	"RES 4, (HL)"	1	15	"RES 4, (HL)"	1	15							
A7	"AND A, A"	1	4	"RES 4, A"	1	8	"LD L, RES 4, (HL)"	1	0							
A8	"XOR A, B"	1	4	"RES 5, B"	1	8	"LD B, RES 5, (HL)"	1	0	LDD	1	16				
A9	"XOR A, C"	1	4	"RES 5, C"	1	8	"LD C, RES 5, (HL)"	1	0	CPD	1	16				
AA	"XOR A, D"	1	4	"RES 5, D"	1	8	"LD D, RES 5, (HL)"	1	0	IND	1	16				
AB	"XOR A, E"	1	4	"RES 5, E"	1	8	"LD E, RES 5, (HL)"	1	0	OUTD	1	16				
AC	"XOR A, H"	1	4	"RES 5, H"	1	8	"LD H, RES 5, (HL)"	1	0							
AD	"XOR A, L"	1	4	"RES 5, L"	1	8	"LD L, RES 5, (HL)"	1	0							
AE	"XOR A, (HL)"	1	7	"RES 5, (HL)"	1	15	"RES 5, (HL)"	1	15							
AF	"XOR A, A"	1	4	"RES 5, A"	1	8	"LD L, RES 5, (HL)"	1	0							
B0	"OR A, B"	1	4	"RES 6, B"	1	8	"LD B, RES 6, (HL)"	1	0	LDIR	1	21 / 16				
B1	"OR A, C"	1	4	"RES 6, C"	1	8	"LD C, RES 6, (HL)"	1	0	CPIR	1	21 / 16				
B2	"OR A, D"	1	4	"RES 6, D"	1	8	"LD D, RES 6, (HL)"	1	0	INIR	1	21 / 16				
B3	"OR A, E"	1	4	"RES 6, E"	1	8	"LD E, RES 6, (HL)"	1	0	OTIR	1	21 / 16				
B4	"OR A, H"	1	4	"RES 6, H"	1	8	"LD H, RES 6, (HL)"	1	0							
B5	"OR A, L"	1	4	"RES 6, L"	1	8	"LD L, RES 6, (HL)"	1	0							
B6	"OR A, (HL)"	1	7	"RES 6, (HL)"	1	15	"RES 6, (HL)"	1	15							
B7	"OR A, A"	1	4	"RES 6, A"	1	8	"LD L, RES 6, (HL)"	1	0							
B8	CP B	1	4	"RES 7, B"	1	8	"LD B, RES 7, (HL)"	1	0	LDDR	1	21 / 16				
B9	CP C	1	4	"RES 7, C"	1	8	"LD C, RES 7, (HL)"	1	0	CPDR	1	21 / 16				
BA	CP D	1	4	"RES 7, D"	1	8	"LD D, RES 7, (HL)"	1	0	INDR	1	21 / 16				
BB	CP E	1	4	"RES 7, E"	1	8	"LD E, RES 7, (HL)"	1	0	OTDR	1	21 / 16				
BC	CP H	1	4	"RES 7, H"	1	8	"LD H, RES 7, (HL)"	1	0							
BD	CP L	1	4	"RES 7, L"	1	8	"LD L, RES 7, (HL)"	1	0							
BE	CP (HL)	1	7	"RES 7, (HL)"	1	15	"RES 7, (HL)"	1	15							
BF	CP A	1	4	"RES 7, A"	1	8	"LD L, RES 7, (HL)"	1	0							
C0	RET NZ	1	11 / 5	"SET 0, B"	1	8	"LD B, SET 0, (HL)"	1	0							
C1	POP BC	1	10	"SET 0, C"	1	8	"LD C, RES 0, (HL)"	1	0							
C2	"JP NZ, ^"	3	12 / 7	"SET 0, D"	1	8	"LD D, RES 0, (HL)"	1	0							
C3	JP ^	3	10	"SET 0, E"	1	8	"LD E, RES 0, (HL)"	1	0							
C4	"CALL NZ, ^"	3	17 / 10	"SET 0, H"	1	8	"LD H, RES 0, (HL)"	1	0							
C5	PUSH BC	1	11	"SET 0, L"	1	8	"LD L, RES 0, (HL)"	1	0							
